timestamp,requests,predict
2015-03-16 00:00:00,84474,0
2015-03-16 00:01:00,83668,0
2015-03-16 00:02:00,83777,0
2015-03-16 00:03:00,82464,0
2015-03-16 00:04:00,83901,0
2015-03-16 00:05:00,82357,0
2015-03-16 00:06:00,81757,0
2015-03-16 00:07:00,81798,0
2015-03-16 00:08:00,82724,0
2015-03-16 00:09:00,82219,0
2015-03-16 00:10:00,82270,82815
2015-03-16 00:11:00,82644,82839
2015-03-16 00:12:00,82433,83131
2015-03-16 00:13:00,82821,83035
2015-03-16 00:14:00,84810,83319
2015-03-16 00:15:00,84637,84793
2015-03-16 00:16:00,83652,85083
2015-03-16 00:17:00,82853,84567
2015-03-16 00:18:00,83508,83889
2015-03-16 00:19:00,83793,84129
2015-03-16 00:20:00,83542,84326
2015-03-16 00:21:00,81922,84201
2015-03-16 00:22:00,81971,83047
2015-03-16 00:23:00,80824,82745
2015-03-16 00:24:00,82928,81798
2015-03-16 00:25:00,83423,82987
2015-03-16 00:26:00,83413,83594
2015-03-16 00:27:00,82535,83829
2015-03-16 00:28:00,83546,83366
2015-03-16 00:29:00,83977,83953
2015-03-16 00:30:00,84258,84407
2015-03-16 00:31:00,84084,84765
2015-03-16 00:32:00,83223,84797
2015-03-16 00:33:00,82274,84170
2015-03-16 00:34:00,82656,83306
2015-03-16 00:35:00,83260,83313
2015-03-16 00:36:00,82781,83684
2015-03-16 00:37:00,83425,83432
2015-03-16 00:38:00,82224,83856
2015-03-16 00:39:00,83549,83100
2015-03-16 00:40:00,87257,83870
2015-03-16 00:41:00,84279,86552
2015-03-16 00:42:00,84643,85281
2015-03-16 00:43:00,84253,85465
2015-03-16 00:44:00,84843,85147
2015-03-16 00:45:00,83866,85394
2015-03-16 00:46:00,84035,84798
2015-03-16 00:47:00,84858,84715
2015-03-16 00:48:00,84786,85307
2015-03-16 00:49:00,85388,85293
2015-03-16 00:50:00,86041,85824
2015-03-16 00:51:00,85460,86471
2015-03-16 00:52:00,85340,86227
2015-03-16 00:53:00,86257,86125
2015-03-16 00:54:00,84997,86759
2015-03-16 00:55:00,83270,85939
2015-03-16 00:56:00,83046,84476
2015-03-16 00:57:00,83061,83926
2015-03-16 00:58:00,82573,83684
2015-03-16 00:59:00,82775,83235
2015-03-16 01:00:00,83609,83279
2015-03-16 01:01:00,83082,83871
2015-03-16 01:02:00,84570,83649
2015-03-16 01:03:00,84408,84720
2015-03-16 01:04:00,84576,84908
2015-03-16 01:05:00,84664,85166
2015-03-16 01:06:00,81843,85334
2015-03-16 01:07:00,81449,83315
2015-03-16 01:08:00,81560,82524
2015-03-16 01:09:00,84011,82290
2015-03-16 01:10:00,85028,83812
2015-03-16 01:11:00,84362,84923
2015-03-16 01:12:00,83324,84882
2015-03-16 01:13:00,82863,84269
2015-03-16 01:14:00,82989,83757
2015-03-16 01:15:00,84697,83700
2015-03-16 01:16:00,82923,84871
2015-03-16 01:17:00,82436,83891
2015-03-16 01:18:00,83518,83335
2015-03-16 01:19:00,83056,83919
2015-03-16 01:20:00,86600,83643
2015-03-16 01:21:00,85003,86158
2015-03-16 01:22:00,83735,85687
2015-03-16 01:23:00,84037,84817
2015-03-16 01:24:00,83436,84850
2015-03-16 01:25:00,83441,84250
2015-03-16 01:26:00,83253,84171
