model,epochs,batchsize,units1,units2,units3,RMSE,MSE,MAE,AR2
double_lstm_with_attention,1000,512,64,16,32,0.012970628378204748,0.00016823720052549035,0.011881944018001024,0.9640299591322645
double_lstm_with_attention0,3000,512,8,4,16,0.009078114508340574,8.241216302654364e-05,0.00771406749580142,0.9823798252538439
double_lstm_with_attention1,3000,512,8,4,16,0.007314048157214131,5.349530044604742e-05,0.005898244523186642,0.988562409875665
double_lstm_with_attention2,3000,512,8,4,16,0.030048216291273883,0.0009028953022871772,0.029344535230426814,0.8069560072260276
double_lstm_with_attention3,3000,512,8,4,16,0.028409768675915315,0.000807114956219019,0.02766316081135336,0.8274343731976219
double_lstm_with_attention,3000,512,8,4,16,0.01069502200986364,0.00011438349579146767,0.009387134459425966,0.9755441780690464
