model,epochs,batchsize,units1,units2,MSE,RMSE,MAE,AR2
double_lstm,500,1024,4,16,3.4411497951003645e-05,0.005866131429741721,0.004315430972217844,0.9926426320471848
double_lstm,500,512,16,4,6.845466905543503e-05,0.00827373368289281,0.007051143742068466,0.9853640144045417
double_lstm,500,1024,4,32,0.00016178785713789504,0.01271958557256859,0.011656084780455466,0.9654088643000709
double_lstm,500,1024,4,64,3.710727843243164e-05,0.006091574380439891,0.004443190246804498,0.9920662593199607
double_lstm,500,512,16,8,6.902310093910005e-05,0.00830801425968324,0.007047573508215029,0.9852424805343746
double_lstm,1000,256,4,8,0.00017631611879430272,0.013278407991709802,0.011956320690218562,0.9623026418719406
double_lstm,500,1024,8,4,0.00017616741379393192,0.01327280730644169,0.011281042203038666,0.9623344358207454
double_lstm,500,512,16,16,4.0660635635785516e-05,0.006376569268484858,0.00473056610957962,0.9913065319622595
double_lstm,1000,64,4,4,0.04057637446196872,0.20143578247662136,0.19587797430752224,-7.675452534294939
double_lstm,500,1024,8,8,3.929011228583539e-05,0.006268182534501958,0.004674998593260607,0.9915995574093894
double_lstm,500,512,16,32,4.19775342036971e-05,0.006479007192749295,0.004871277099482064,0.9910249717891318
double_lstm,500,1024,8,16,5.697334593598715e-05,0.007548069020351308,0.005611689158463909,0.987818784577442
double_lstm,1000,256,4,16,4.509449526754856e-05,0.006715243500242457,0.0052210381843985675,0.9903585483316583
double_lstm,500,512,16,64,0.00017820348635602377,0.013349287859508603,0.010698050700206956,0.9618991122832676
double_lstm,500,1024,8,32,0.0003388822179692416,0.018408753840747655,0.017488631606666454,0.9275451137344886
double_lstm,500,1024,8,64,0.0001995493766592271,0.014126194698475139,0.013047892582666044,0.9573352432687681
double_lstm,500,512,32,4,4.63751828717989e-05,0.006809932662794758,0.005030572100127771,0.9900847302621719
double_lstm,1000,256,4,32,3.643136163732389e-05,0.006035839762396272,0.004402398814885466,0.9922107740566972
double_lstm,500,1024,16,4,0.00018832578754387024,0.013723184307727935,0.012580398071034258,0.9597349084908536
double_lstm,500,512,32,8,0.00013847464960260467,0.01176752521147096,0.010713238391128333,0.9703933565834844
double_lstm,500,1024,16,8,0.0001820001864804477,0.013490744474655493,0.012487253385325522,0.9610873568676312
double_lstm,500,512,32,16,6.593028348401757e-05,0.008119746515995285,0.005676731540862069,0.9859037419552035
double_lstm,500,1024,16,16,0.0001491248462458435,0.012211668446442668,0.010387599678952803,0.9681162858327221
double_lstm,1000,256,4,64,0.00011473365611200026,0.010711379748286412,0.009344833002616645,0.975469311862283
double_lstm,1000,64,4,8,0.009073413492560453,0.09525446704780019,0.09261017846296163,-0.9399458212442839
double_lstm,500,512,32,32,6.698152449123111e-05,0.008184224122739498,0.006775196854332235,0.9856789808329713
double_lstm,500,1024,16,32,4.115114453145927e-05,0.0064149157852195745,0.004640114926550102,0.9912016584564697
double_lstm,500,1024,16,64,3.738415545831943e-05,0.006114258373533084,0.004539764722648571,0.9920070614855614
double_lstm,500,512,32,64,0.004763192995607231,0.06901588944299154,0.0542681165877911,-0.018396919217304353
double_lstm,500,1024,32,4,0.00013636928746641464,0.011677726125681088,0.010155344954557893,0.9708434946138581
double_lstm,1000,256,8,4,3.4577500588676107e-05,0.00588026364958886,0.0043202455583694985,0.9926071397681728
double_lstm,500,512,64,4,0.0005890785972363113,0.0242709414163586,0.023261005794954905,0.8740517486577654
double_lstm,500,1024,32,8,0.0003317274660611499,0.01821338700135562,0.01692994055852901,0.9290748391324903
double_lstm,500,512,64,8,0.00012319112799317902,0.011099149877048197,0.009975672062740006,0.9736610577528857
double_lstm,500,1024,32,16,0.0001945259625556132,0.013947256452636598,0.012768276050636712,0.9584092768953273
double_lstm,1000,256,8,8,0.00015259514499929507,0.012352940742968659,0.011234450988701794,0.9673743168294635
double_lstm,500,512,64,16,0.00476863551756009,0.069055307671171,0.054396444508899265,-0.019560560412334116
double_lstm,500,1024,32,32,3.459658380577683e-05,0.0058818860755523675,0.004338228185204917,0.9926030596711618
double_lstm,500,1024,32,64,3.515428306120375e-05,0.005929104743652599,0.004365491725571795,0.9924838204960749
double_lstm,500,512,64,32,0.004768574963023754,0.06905486922023496,0.05439502422347967,-0.019547613518662965
double_lstm,1000,64,4,16,8.938244456345704e-05,0.009454228924849295,0.0070127557689701305,0.9808895406380795
double_lstm,500,1024,64,4,0.0038091747926771204,0.06171851256047184,0.055535148491069435,0.18557743152541484
double_lstm,500,512,64,64,0.0005825049671786386,0.02413513967597119,0.020347268289434315,0.8754572270007556
double_lstm,1000,256,8,16,9.154687611267567e-05,0.009568013174775403,0.008242859817836429,0.9804267732415844
double_lstm,500,1024,64,8,0.0002630737375770354,0.016219548007790952,0.015227884428073348,0.9437533847311009
double_lstm,500,1024,64,16,8.152910244975796e-05,0.009029346734385492,0.007855145579786876,0.9825686284729681
double_lstm,1000,512,4,4,3.777299364529141e-05,0.006145973775187412,0.004552971431698589,0.9919239257377443
double_lstm,500,1024,64,32,0.00032347582770000255,0.01798543376457745,0.010253505823559453,0.9308390849006626
double_lstm,1000,256,8,32,0.0004103480680903711,0.020257049836794376,0.0190604852682937,0.9122653210282672
double_lstm,500,1024,64,64,0.00028706743950451157,0.01694306464322531,0.009537338687577893,0.9386233989954622
double_lstm,1000,512,4,8,4.823295124221035e-05,0.006944994689861926,0.0054661540728429174,0.9896875291437643
double_lstm,1000,1024,4,4,0.0004420211916561571,0.021024300027733554,0.020181945093948432,0.905493432614102
double_lstm,1000,512,4,16,3.462888618489973e-05,0.005884631355055279,0.004295089676887023,0.9925961532444408
double_lstm,1000,256,8,64,0.001913103330963937,0.043739036694512796,0.031536980998300164,0.590967961996329
double_lstm,1000,64,4,32,0.009552453551702159,0.09773665408485273,0.09388441417387777,-1.0423672265624182
double_lstm,1000,1024,4,8,0.00016063129527815596,0.012674040211319987,0.011491142614671025,0.9656561436011466
double_lstm,1000,1024,4,16,3.576348157935587e-05,0.005980257651586249,0.004351684363678369,0.9923535704947313
double_lstm,1000,512,4,32,8.365626063558729e-05,0.009146379646373055,0.007954543945938374,0.9821138303270324
double_lstm,1000,256,16,4,3.477938990452557e-05,0.005897405353587759,0.004336872953332874,0.9925639747195439
double_lstm,1000,1024,4,32,0.00013601814620291245,0.01166268177577149,0.010170292586479163,0.9709185705516357
double_lstm,1000,512,4,64,0.0021727277189681976,0.04661252748959444,0.044428290108552086,0.535458836680379
double_lstm,1000,1024,4,64,0.00022156267360237965,0.014884981478066396,0.01321120614410516,0.9526286790356167
double_lstm,1000,256,16,8,3.876566313936624e-05,0.006226207765515558,0.0045805139799694255,0.9917116875278925
double_lstm,1000,512,8,4,3.5101753824017756e-05,0.005924673309476039,0.004333886434456983,0.9924950515365488
double_lstm,1000,1024,8,4,3.580536771329436e-05,0.005983758661016866,0.004357910512454962,0.9923446150084009
double_lstm,1000,1024,8,8,3.4869970126849257e-05,0.005905080027133355,0.0043323615519267585,0.9925446081686943
double_lstm,1000,64,4,64,0.004766369528792812,0.06903889866439653,0.054343350677365794,-0.01907607952279089
double_lstm,1000,512,8,8,4.830309510010022e-05,0.006950042812824984,0.005496442126898011,0.9896725320002845
double_lstm,1000,256,16,16,5.961503787904065e-05,0.007721077507643648,0.0063526577932284025,0.9872539762778817
double_lstm,1000,1024,8,16,0.00019825772302200516,0.014080402090210534,0.013090262656392602,0.9576114059365533
double_lstm,1000,512,8,16,4.1298132323226286e-05,0.006426362293181601,0.004799375646477027,0.9911702316563302
double_lstm,1000,1024,8,32,6.608579198565656e-05,0.008129316821582029,0.0066179711337866765,0.9858704933803236
double_lstm,1000,256,16,32,0.0022672584417029,0.047615737332345275,0.04672257073210981,0.5152476470659355
double_lstm,1000,512,8,32,0.00015786733277053203,0.012564526762697115,0.011461804522973285,0.9662470940214197
double_lstm,1000,1024,8,64,0.00048497153220769404,0.0220220692081306,0.021031237882123025,0.8963104130435412
double_lstm,1000,1024,16,4,0.0011872378582887572,0.034456318118579604,0.03380791984913525,0.7461620013351395
double_lstm,1000,512,8,64,6.504181658365637e-05,0.008064850685763274,0.006722433068544406,0.9860937010761102
double_lstm,1000,256,16,64,3.829046138892675e-05,0.006187928683245044,0.004550270236318354,0.9918132882816517
double_lstm,1000,1024,16,8,0.0006288462337257644,0.025076806689165277,0.024122842965712894,0.8655492087601039
double_lstm,1000,64,8,4,0.0047663692532210235,0.06903889666862459,0.054343344179559994,-0.01907602060402369
double_lstm,1000,512,16,4,0.0003287969004968959,0.01813275766387716,0.01729171612785516,0.9297014102046584
double_lstm,1000,1024,16,16,0.00017929405471382002,0.0133900729913552,0.012354717638570727,0.9616659427566916
double_lstm,1000,256,32,4,4.732431310483304e-05,0.0068792669017005755,0.004771135483457177,0.9898818009863375
double_lstm,1000,512,16,8,3.504784347380165e-05,0.005920121913761713,0.004326278767520506,0.9925065778666019
double_lstm,1000,1024,16,32,6.59700491262176e-05,0.008122194846605047,0.006363497952671697,0.9858952398416958
double_lstm,1000,512,16,16,0.00011919931455743436,0.010917843860279115,0.009758368776036088,0.9745145294700305
double_lstm,1000,1024,16,64,0.00024007118361379725,0.015494230655756912,0.014365550139261806,0.9486714575683544
double_lstm,1000,256,32,8,0.043347467173425774,0.2082005455646689,0.19718235666307324,-8.267927431452373
double_lstm,1000,1024,32,4,3.4252073218735826e-05,0.005852527079709741,0.004291162181473009,0.9926767179337609
double_lstm,1000,512,16,32,6.846121731507898e-05,0.008274129399222554,0.006775335782300878,0.9853626143505331
double_lstm,1000,1024,32,8,0.00021903253056851244,0.014799747652190305,0.013610947867390064,0.9531696375634877
double_lstm,1000,256,32,16,4.0277920385501e-05,0.006346488823396839,0.004702090866575571,0.9913883585924603
double_lstm,1000,64,8,8,0.01144000773132831,0.10695797179887206,0.10269451888277661,-1.4459367151722242
double_lstm,1000,512,16,64,0.0002235350238060861,0.014951087713142684,0.01338071622106624,0.9522069796896265
double_lstm,1000,1024,32,16,0.00020139305989487282,0.014191302262120726,0.013066482770192494,0.9569410536298166
double_lstm,1000,512,32,4,3.448941561634304e-05,0.005872768990548074,0.004297157819917572,0.9926259728208197
double_lstm,1000,256,32,32,4.036225984736278e-05,0.006353129925270125,0.004737331915788448,0.9913703263505992
double_lstm,1000,1024,32,32,3.460879415478079e-05,0.005882923946030646,0.004308969084948986,0.9926004490312361
double_lstm,1000,1024,32,64,0.00036437027181731365,0.01908848532014297,0.017969368491012733,0.9220956273207195
double_lstm,1000,512,32,8,4.408210325557397e-05,0.006639435462113776,0.005042099130477999,0.9905750033245562
double_lstm,1000,256,32,64,0.0007366749200032259,0.02714175602283732,0.02555776398473236,0.8424948412361575
double_lstm,1000,1024,64,4,0.004725749104134513,0.06874408413917894,0.053252112035940054,-0.010391208813697261
double_lstm,1000,512,32,16,6.264539693502292e-05,0.00791488451811035,0.0065679516384844865,0.9866060688070778
double_lstm,1000,1024,64,8,5.2343461572184686e-05,0.007234878131121815,0.005531471545195092,0.9888086793763252
double_lstm,1000,64,8,16,0.0014107974761341292,0.037560584076051444,0.03516696111132941,0.6983637226835939
double_lstm,1000,512,32,32,6.418150691030933e-05,0.008011336150125604,0.006557964386090684,0.9862776400266664
double_lstm,1000,256,64,4,0.016074537681711736,0.12678540011259867,0.12076052431429292,-2.4368247660749596
double_lstm,1000,1024,64,16,4.9763134674348324e-05,0.007054299020763745,0.005030670739534732,0.9893603674909478
double_lstm,1000,1024,64,32,0.0059208170956841655,0.07694684591121435,0.044435403855195524,-0.2659033331327798
double_lstm,1000,512,32,64,0.0003221746551062677,0.01794922435946099,0.01689092057938486,0.9311172827738229
double_lstm,1000,256,64,8,0.016074547225114474,0.12678543774864082,0.1207605587207072,-2.436826806507072
double_lstm,1000,1024,64,64,0.06426506259585497,0.2535055474656422,0.2441112925522691,-12.740224639497827
double_lstm,1000,512,64,4,0.004768680032166666,0.06905562998167974,0.05439746765292625,-0.01957007788060361
double_lstm,1500,1024,4,4,3.6923623701447536e-05,0.00607648119403389,0.004509162149315576,0.9921055257138285
double_lstm,1000,256,64,16,0.016074553578425244,0.12678546280400307,0.12076058155179532,-2.436828164879937
double_lstm,1000,512,64,8,0.00015177198793303964,0.012319577425100247,0.011232306248951544,0.9675503123478226
double_lstm,1000,64,8,32,0.00476637031152761,0.0690389043331918,0.054343375692142745,-0.01907624687580567
double_lstm,1500,1024,4,8,5.424460588584541e-05,0.007365093745896614,0.005981177891956072,0.9884022042421442
double_lstm,1000,512,64,16,0.03946638751937229,0.19866148977437043,0.18740016759008965,-7.438131207245178
double_lstm,1500,1024,4,16,4.683038952864878e-05,0.0068432733051259015,0.005380757590505353,0.9899874045696436
double_lstm,1000,256,64,32,0.011249600676198677,0.10606413473082538,0.10122274094627498,-1.4052266371804052
double_lstm,1000,512,64,32,0.0017508428448357405,0.041843074036640046,0.039114100331038494,0.6256601483797175
double_lstm,1500,1024,4,32,8.100949664762583e-05,0.009000527576071629,0.007696418065946659,0.9826797230577534
double_lstm,1000,256,64,64,0.0012114489356271213,0.03480587501596708,0.03266085662477667,0.7409855395383865
double_lstm,1000,512,64,64,0.05552003181576334,0.23562689111339424,0.2256002313446572,-10.870488852365302
double_lstm,1500,1024,4,64,0.0014232037281138904,0.03772537247150637,0.037069723258641114,0.6957111976217552
double_lstm,1000,64,8,64,0.0012714039582499576,0.03565675193073477,0.0332324506218205,0.7281668252039033
double_lstm,1500,1024,8,4,3.9690834058213745e-05,0.0063000661947485714,0.00462731835686179,0.9915138808855052
double_lstm,1500,512,4,4,3.7029128326898824e-05,0.006085156392969603,0.004523510232943236,0.9920829682433204
double_lstm,1500,256,4,4,0.00011927348086468525,0.010921239895940628,0.00956470007246158,0.9744986723047038
double_lstm,1500,1024,8,8,8.983393549745295e-05,0.009478076571617944,0.008149779570967786,0.9807930093875802
double_lstm,1500,512,4,8,3.7352168054406014e-05,0.006111642009673506,0.004513720381910354,0.9920139005688463
double_lstm,1500,1024,8,16,3.756461003404416e-05,0.006128997473816102,0.004521776202573115,0.9919684793025287
double_lstm,1500,256,4,8,0.000564969728437148,0.02376909187236963,0.022159455409833415,0.87920635770542
double_lstm,1500,512,4,16,0.0002035459143897897,0.014266951825452755,0.013020137203638062,0.9564807614713489
double_lstm,1500,1024,8,32,0.00021110443654902885,0.014529433455886325,0.013008523560552262,0.9548647077678976
double_lstm,1000,64,16,4,0.004766370079937721,0.06903890265594986,0.05434336367297738,-0.019076197360610836
double_lstm,1500,1024,8,64,4.345815042854552e-05,0.006592279607885691,0.004965477571834695,0.9907084078784697
double_lstm,1500,512,4,32,0.00035523589475053866,0.018847702638532332,0.01796462561174177,0.9240486074901881
double_lstm,1500,1024,16,4,0.0007119081347337278,0.02668160667451883,0.02566967230617921,0.8477901164518866
double_lstm,1500,256,4,16,3.914403726528216e-05,0.006256519580827839,0.004683587398193862,0.9916307890540117
double_lstm,1500,512,4,64,8.564663137861723e-05,0.009254546524742162,0.007920960122759174,0.9816882780903979
double_lstm,1500,1024,16,8,0.0007529096315674964,0.027439198814241943,0.02666773085978951,0.8390237704110445
double_lstm,1500,1024,16,16,3.54948199978428e-05,0.005957752931923479,0.004358605578470262,0.9924110118218362
double_lstm,1500,256,4,32,0.00010703263669366737,0.0103456578666447,0.007395500215665692,0.9771158322652346
double_lstm,1500,512,8,4,3.793943082648622e-05,0.006159499235042262,0.004569877480111199,0.9918883405509321
double_lstm,1000,64,16,8,0.0002657953002168214,0.01630322974802298,0.013184616932662324,0.9431714996362978
double_lstm,1500,1024,16,32,4.8030423822834615e-05,0.0069303985327565844,0.005465891204017881,0.9897308306224446
double_lstm,1500,512,8,8,4.2496777672093484e-05,0.006518955259249252,0.005013960376225234,0.9909139546732967
double_lstm,1500,1024,16,64,0.00019841760540358658,0.014086078425295898,0.013012965693004494,0.9575772222020311
double_lstm,1500,256,4,64,3.816350364659718e-05,0.0061776616649503535,0.0045768299992152445,0.9918404325468071
double_lstm,1500,1024,32,4,0.00012103930008439606,0.011001786222445702,0.009605420973342325,0.9741211304215791
double_lstm,1500,512,8,16,4.365657098423942e-05,0.006607311933323522,0.0051059131045203526,0.9906659844698833
double_lstm,1500,1024,32,8,3.6616515926885784e-05,0.006051158230197405,0.004405615806163142,0.9921711870489393
double_lstm,1000,64,16,16,0.004766369528792812,0.06903889866439653,0.054343350677365794,-0.01907607952279089
double_lstm,1500,256,8,4,6.73733910429248e-05,0.008208129570305577,0.006387078270212821,0.9855951976040832
double_lstm,1500,512,8,32,3.9381659795595886e-05,0.00627548084178383,0.004739805764788469,0.9915799840471536
double_lstm,1500,1024,32,16,0.00012735586581048716,0.01128520561666854,0.0100626475096546,0.9727706138497296
double_lstm,1500,1024,32,32,0.0002988593020098128,0.017287547599639828,0.016353064175420585,0.9361022337900405
double_lstm,1500,512,8,64,0.00023015177054389014,0.015170753789574536,0.014064638171574323,0.9507922827627467
double_lstm,1500,256,8,8,4.097444752587435e-05,0.0064011286134457845,0.004858617167559205,0.9912394372502932
double_lstm,1500,1024,32,64,3.853940855936061e-05,0.0062080116429788215,0.00456930722658325,0.9917600620043098
double_lstm,1500,512,16,4,6.614854500504204e-05,0.008133175579381159,0.00683332678498651,0.9858570764388577
double_lstm,1500,1024,64,4,0.005799682047136454,0.07615564356721341,0.06748695172827243,-0.24000399200509537
double_lstm,1000,64,16,32,0.004766369942151329,0.06903890165806036,0.054343360424074484,-0.019076167901120433
double_lstm,1500,256,8,16,0.016074537681711736,0.12678540011259867,0.12076052431429292,-2.4368247660749596
double_lstm,1500,512,16,8,0.00018373147115135412,0.01355475824761748,0.012487066698085768,0.96071719866141
double_lstm,1500,1024,64,8,0.005799680053441465,0.07615563047760464,0.06748693295683347,-0.2400035657421169
double_lstm,1500,1024,64,16,0.005799680053441465,0.07615563047760464,0.06748693295683347,-0.2400035657421169
double_lstm,1500,512,16,16,0.00010743767125606314,0.010365214481913201,0.009085058680207446,0.9770292336430707
double_lstm,1500,256,8,32,0.00015784996453502997,0.012563835582139317,0.011241758132020266,0.9662508074459113
double_lstm,1500,1024,64,32,0.005277299447170922,0.07264502355406681,0.062016517312224476,-0.12831571253620888
double_lstm,1500,512,16,32,0.00012147350311153738,0.011021501853719274,0.00991472205198348,0.9740282954208634
double_lstm,1500,1024,64,64,5.708903158395596e-05,0.007555728395327347,0.005967909800751897,0.9877940503481974
double_lstm,1500,512,16,64,0.00015628559596705867,0.012501423757598919,0.01140483224588438,0.9665852780692119
double_lstm,1500,256,8,64,5.4845795140011635e-05,0.007405794700098811,0.006039770989185592,0.9882736666655912
double_lstm,2000,1024,4,4,3.5745483525630834e-05,0.005978752673060731,0.004405636087632292,0.9923574185778307
double_lstm,1500,512,32,4,0.004768577290653196,0.06905488607371094,0.054395076460393835,-0.019548111178668393
