模型名称,RMSE,MSE,MAE,R2,校正R2
rdf,0.06328322527274072,0.004004766600920449,0.032790927021696295,0.9994891417570104,0.9994860918570523
dt,0.07692307692307693,0.005917159763313609,0.005917159763313609,0.9992451920070746,0.9992406856906989
gbt,0.20838628098854795,0.043424842104238054,0.16783314168016367,0.9944606163729057,0.9944275454258783
knn,0.9934036219390008,0.9868507560815253,0.9822485207100592,0.8741148002910055,0.8733632468599071
lr,1.1938266503360386,1.4252220710525665,0.9337090936624534,0.8181950371538275,0.8171096343905667
ridge,1.032058620394116,1.0651449959298058,0.7934679365046814,0.8641273873426686,0.8633162075656099
SVR,0.6724553405019434,0.45219618496958464,0.576979796586305,0.9423167011812686,0.9419723232778733
