model,MSE,RMSE,AR2,MAE
linearregression,3.730875891219504e-05,0.006108089628696933,0.9920231816827408,0.0045765625037254565
arima,0.006340769262149569,0.07962894738818019,-0.3556914212789912,0.07195776940044954
lstm,4.7102030656918055e-05,0.006863091916688721,0.9899293261990176,0.005442366768833152
transformer,0.006532347742903902,0.08082294069695746,-0.3966519565267701,0.07374077820797013
sma,4.147318532049673e-05,0.006439967804305913,0.9911328043605468,0.0046851989254265685
gru,4.4590906522735924e-05,0.006677642287719216,0.9904662183812958,0.0048669955566067935
double_lstm,3.682050953934677e-05,0.0060679905684952054,0.9921275720900951,0.004472635934365383
