model,MSE,RMSE,AR2,MAE
linearregression,4.8290482474038694e-05,0.006949135376004607,0.9929378771414032,0.004962167585871511
arima,0.008829151531176742,0.09396356491309141,-0.2911975539664331,0.07710372955772916
lstm,4.8647094646658746e-05,0.0069747469234846616,0.9928857252711611,0.005364680640815566
transformer,0.006850695682740276,0.08276892945266524,-0.001863143620065788,0.07148099318493638
sma,4.395192740430702e-05,0.006629624982177123,0.993572358458663,0.004841240785684036
gru,5.662157121792806e-05,0.00752473064088862,0.9917195175549807,0.00576736805904522
double_lstm,8.742175931569741e-05,0.009349960391129869,0.9872152197871695,0.007834870488242036
